Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,Tips,Tips_en,Tips_ja
*102,幸运,超凡之始-运,超凡之始-運,Beginning of the Extraordinary - Luck,超越の始まり-運,"幸运大于等于10时,战斗开始时额外抽1张牌。","幸運大於等於10時,戰鬥開始時額外抽1張牌。",Draw an additional card at the start of the battle.,幸運が10以上の場合、戦闘開始時に追加でカードを1枚引く。,你是人们口中的“幸运儿”。,You are known as ‘the lucky one.’,あなたは人々が言うところの「幸運の持ち主」だ。
*103,精神,超凡之始-智,超凡之始-智,Beginning of the Extraordinary - Wisdom,超越の始まり-知,"精神大于等于10时,战斗开始时额外获得1点魔能。","精神大於等於10時,戰鬥開始時額外獲得1點魔能。",Gain 1 additional power at the start of the battle.,精神が10以上の場合、戦闘開始時に追加でマナを1獲得する。,你的学识贯通古今。。,Your knowledge spans the ages.,あなたの学識は古今を貫く。
*104,感知,超凡之始-感,超凡之始-感,Beginning of the Extraordinary - Sensitivity,超越の始まり-感,"感知大于等于10时,战斗开始时获得6点防御。","感知大於等於10時,戰鬥開始時獲得6點防禦。",Gain 6 Defence at the start of the battle.,感知が10以上の場合、戦闘開始時に防御を6獲得する。,你的感官异常敏锐。,Your senses are exceptionally sharp.,あなたの感覚は異常に鋭い。
*105,魔力,超魔涌动,超魔湧動,Super Magic Surge,スーパーマジックの奔流,"魔力大于等于20时,战斗开始时获得3层锋锐。","魔力大於等於20時,戰鬥開始時獲得3層鋒銳。",Gain 3 {buff_keenedge} at the start of the battle.,魔力が20以上の場合、戦闘開始時に鋭利を3スタック獲得する。,你的魔力水平异常之高，经常将照明施成火球术的效果。,Your magic is so powerful that you can often cast fireballs for illumination.,あなたの魔力は異常に高く、照明魔法がしばしば火球術の効果を発揮する。
*106,幸运,吉星高照,吉星高照,Lucky Star Blessing,吉星高照,"幸运大于等于20时,战斗开始时额外获得45点金币。","幸運大於等於20時,戰鬥開始時額外獲得30點金幣。",Gain 45 gold coins at the start of combat.,幸運が20以上の場合、戦闘開始時に追加で45ゴールドを獲得する。,你总是创造着奇迹，幸运女神格外垂青。,"You are constantly performing miracles, and Lady Luck smiles upon you.",あなたは常に奇跡を起こし、幸運の女神に特に愛されている。
*107,精神,万法通明,萬法通明,Master of All magics,万法通明,"精神大于等于20时,战斗开始时获得1层启示。","精神大於等於20時,戰鬥開始時獲得1層啟示。",Gain 1 layer of {buff_epiphany} at the start of combat.,精神が20以上の場合、戦闘開始時に啓示を1スタック獲得する。,无论多么晦涩的魔力回路，你都可以参透。,"No matter how obscure the magic circuit, you can understand it.",どんなに難解な魔力回路でも、あなたは解読できる。
*108,感知,我见众生,我見眾生,Witness to all beings,我、衆生を見る,"感知大于等于20时,战斗开始时获得2层坚毅。","感知大於等於20時,戰鬥開始時獲得2層堅韌。",Gain 2 layers of {buff_bulwark} at the start of combat.,感知が20以上の場合、戦闘開始時に堅固を2スタック獲得する。,你已窥见众生百相，也坚定了心中的信念。,You have seen the many faces of all beings and strengthened your convictions.,あなたは衆生の百相を垣間見、心中の信念を固めた。
*109,魔力,撼天动地,撼天動地,Shake the earth,天地を揺るがす,"魔力大于等于30时,你每次出牌额外造成8点伤害。","魔力大於等於30時,你每次出牌有額外造成8點傷害。",You have a  chance to deal 8 additional damage each time you play a card.,魔力が30以上の場合、カードを使用するたびに追加で8ダメージを与える。,你魔力的威能足以改天换地。,The power of your magic is sufficient to reshape the heavens and earth.,あなたの魔力の威力は天地を覆すに足る。
*110,幸运,天降机缘,天降機緣,Opportunity from Heaven,天与の好機,"幸运大于等于30时,你的战斗奖励+1。","幸運大於等於30時,你的戰鬥獎勵+1。",Your combat reward is increased by 1.,幸運が30以上の場合、戦闘報酬+1。,奇迹总是主动降临到你身边。,Miracles always come to you of their own accord.,奇跡は常にあなたのもとへ自ら舞い降りてくる。
*111,精神,未来之主,未來之主,Master of the Future,未来の主,"精神大于等于30时,战斗开始时你获得1层鬼化。","精神大於等於30時,戰鬥開始時你獲得1層鬼化。",You gain 1 layer of {buff_oniblood} at the start of combat.,精神が30以上の場合、戦闘開始時に鬼化を1スタック獲得する。,时间线对于凡人过于艰涩，而你早已穷尽一切可能。,"The timeline is too complex for mortals, but you have already explored every possibility.",時間線は凡人にはあまりにも難解だが、あなたはとうに全ての可能性を究めている。
*112,感知,眸中万象,眸中萬象,Insight into everything,瞳の中の万象,"感知大于等于30时,战斗开始你获得1层源蜕。","感知大於等於30時,戰鬥開始你獲得1層源蛻。",You gain 1 layer of {buff_sourcecast} at the start of combat.,感知が30以上の場合、戦闘開始時に源化を1スタック獲得する。,你洞悉世间万物，也窥视到一丝不属于“此处”的真相。,You understand all things in the world and have glimpsed a fragment of truth that does not belong to ‘this place.’,あなたは世の万物を洞察し、「ここ」に属さない真実の一端を垣間見た。
*113,魔力,以力证道,以力證道,Proving the Way with Power,力を以て道を証す,"魔力大于等于40时,战斗开始时获得500层超凡。","魔力大於等於40時,戰鬥開始時獲得500層超凡。",Gain 500 layers of {buff_extraordinary} at the start of combat.,魔力が40以上の場合、戦闘開始時に超越を500スタック獲得する。,魔力开始自发涌动，铭刻着独属于你的回路。,"Magic begins to flow spontaneously, etching circuits unique to you.",魔力が自発的に流れ始め、あなただけの回路を刻み込む。
*114,幸运,天命至高,天命至高,The Supreme Destiny,天命至高,"幸运大于等于40时,你的所有检定骰降低10检定难度，所有数值骰额外加10检定。","幸運大於等於40時,你的所有檢定骰降低10檢定難度，所有數值骰額外加10檢定。","All your check dice are reduced by 10 check difficulty, and all value dice are increased by 10 check.",幸運が40以上の場合、全ての判定ダイスの難易度-10、全ての数値ダイスに+10の追加判定。,并非天命加身，你即是天命。,It is not fate that has chosen you; you are fate itself.,天命があなたに宿ったのではない、あなたが天命そのものなのだ。
*115,精神,虚之造物主,虛之造物主,Creator of Nothingness,虚無の創造主,"精神大于等于40时,战斗开始时自身获得2层循环,2层污染。给与所有敌人一层时停。","精神大於等於40時,戰鬥開始時自身獲得2層循環,2層污染。給與所有敵人一層時停。","At the start of battle, you gain 2 layers of {buff_cycle} and 2 layers of {buff_contagion}. All enemies are given 1 layer of {buff_timestop}.",精神が40以上の場合、戦闘開始時に自身は循環を2スタック、汚染を2スタック獲得する。全ての敵に時間停止を1スタック付与する。,你早已跳脱出时间，凡间的威胁再难伤你分毫。,You have long transcended time; the threats of the mortal world can no longer harm you in the slightest.,あなたはとうに時間を超越した。俗世の脅威があなたを傷つけることはもはやない。
*116,感知,第一因,第一因,First Cause,第一原因,"感知大于等于40时,第1回合记录你的生命,之后每回合回溯到对应状态并获得1层坚毅。","感知大於等於40時,第1回合記錄你的狀態,之後每回合回溯到對應狀態並獲得1層堅毅。","Record your status in the first round, then backtrack to the corresponding status each round and gain 1 layer of {buff_impregnable}.",感知が40以上の場合、1ターン目にあなたの状態を記録し、以降の各ターンでその状態に戻り、堅毅を1スタック獲得する。,万般因果加身，你成为世间第一因。,"Bound by countless causes and effects, you have become the first cause of the world.",あらゆる因果をその身に受け、あなたは世界の第一原因となった。
32,高级,星星,星星,Star,星,行动时，额外对随机敌人造成一次1点伤害。,行動時，額外對隨機敵人造成一次1點傷害。,"At the start of combat, you gain 1 extra power point and draw 1 card.",行動時、追加でランダムな敵1体に1ダメージを与える。,,Evil thoughts are more dangerous than the sharpest blades.,悪意は最も鋭い刃よりも危険だ。
33,高级,月亮,月亮,Moon,月,战斗开始时，你获得1层污染，4层增生。,戰鬥開始時，你獲得1層污染，4層增生。,"At the start of combat, you gain 1 extra power point and draw 1 card.",戦闘開始時、汚染を1スタック、増殖を4スタック獲得する。,,Evil thoughts are more dangerous than the sharpest blades.,悪意は最も鋭い刃よりも危険だ。
34,高级,太阳,太陽,Sun,太陽,战斗开始时，你获得2层庇护。,戰鬥開始時，你獲得2層庇護。,"At the start of combat, you gain 1 extra power point and draw 1 card.",戦闘開始時、庇護を2スタック獲得する。,,Evil thoughts are more dangerous than the sharpest blades.,悪意は最も鋭い刃よりも危険だ。
*35,高级,重生保险,重生保險,Rebirth Insurance,再生の保険,每场冒险仅限一次，非最终领主战斗死亡时脱离,每場冒險僅限一次，非最終領主戰鬥死亡時脫離,"Once per adventure only, escape when dying in non-final boss battles",冒険ごとに1回のみ、最終ボス以外の戦闘で死亡時に離脱する。,,,
*36,诅咒,巫妖,,,,战斗开始时最大生命值-4，三场战斗后销毁此祝福并获得3个萨满，3个牧师,,,,,,
*37,诅咒,恐虐,,,,战斗开始时临时魔力-5，三场战斗后销毁此祝福并获得5魔力，一个士官祝福,,,,,,
*38,诅咒,奸奇,,,,战斗开始时临时精神-5，三场战斗后销毁此祝福并获得5精神，一个工匠祝福,,,,,,
*39,诅咒,纳垢,,,,战斗开始时临时幸运-5，三场战斗后销毁此祝福并获得5幸运，120金币,,,,,,
*40,诅咒,色孽,,,,战斗开始时临时感知-5，三场战斗后销毁此祝福并获得5感知，10最大生命值,,,,,,
